trial,score,validity_rate,avg_cost,n_runs,n_valid,elapsed_s,base_penalty_factor,omega2_over_omega1,p_origin_penalty_w,p_delivery_once_w,p_position_once_w,p_dest_inclusion_w,p_consecutiveness_w,p_capacity_w,reward_regular,reward_tp_depot,reward_depot_tp
34,250000117.95657662,0.75,117.95657660831668,12,9,0.7168245315551758,True,5.486596668197878,0.20191964011878188,2.1428286408061368,4.981723899077018,4.271994790332702,2.9494826518885637,2.3106090171778875,4.06086096758377,1.9596713248669606,1.8626652284307201,0.3543438012047704
35,133333592.46550883,0.8666666666666667,259.1321755338655,30,26,6.824126958847046,False,2.3395245383383414,0.12292736691840236,1.8273903223879011,4.217118303925981,4.6385704253766775,3.484835503591525,0.7946808470570276,1.0748044990732302,0.8979906452623507,0.4761553590132967,0.807888703598858
36,500000127.71885437,0.5,127.71885439421972,12,6,2.6236460208892822,True,8.247609046270458,0.43339983611079597,3.0285278369847797,2.6707699673974394,4.979817836547667,3.7681035278962955,2.0198291926631033,4.704251552738749,1.1570044454777426,0.9435873916024995,2.921843277050983
37,500000148.67622805,0.5,148.67622807412945,12,6,2.1606147289276123,True,24.58905031591334,0.15101256686579753,1.3196809024987353,7.496708163487944,6.170367803875842,2.138705406999802,3.9777775141355267,2.4181399381492565,1.7352395215261691,0.6508942827768837,1.2881348910887391
38,100000197.43446818,0.9,197.43446819186792,30,27,8.468459367752075,False,11.473466147645297,0.22621825882204263,1.65558977823792,6.326119594151481,3.0935793697181966,2.6919615699875314,1.7326419144221141,1.4764520583208047,2.0264616287981516,1.4304822195209903,1.6114055214209118
39,155.02208285819785,1.0,155.02208285819785,12,12,0.8171215057373047,True,16.712730602701335,0.08004075826571878,1.0581908729513423,4.490501328418517,2.1598586895868364,3.1300698193754153,0.15928700050946998,3.2147104863955414,1.104730669463179,0.5401800050364189,0.2281456289602269
40,500000138.1330115,0.5,138.13301152390497,12,6,2.1287035942077637,True,1.037010854709673,0.7945881665836324,2.2514168970883377,7.9761732868356265,5.499678250186529,3.4451537825605145,1.4033920508669813,0.9964889516739921,1.450356596598157,0.1413901160270915,1.740785895666011
41,147.62102014901527,1.0,147.62102014901527,12,12,0.8753256797790527,True,4.528522238011583,0.11359386219012078,2.658547376077898,3.85579978455938,3.821177160570127,3.85260266780422,0.9780551326731443,2.9506683961424742,2.2001693563085145,0.8913643035960034,0.8506367920567341
42,146.69191137113793,1.0,146.69191137113793,12,12,0.7668802738189697,True,3.6076708219422646,0.14744069965552442,2.545205732546869,3.4510886042662174,3.8958849245515297,3.9754725066889325,0.6897588047334695,3.897945913179117,1.7556920826676876,0.7070797260726205,0.6168186524393473
43,250000147.3426587,0.75,147.34265869283487,12,9,0.9824044704437256,True,1.9443020472227095,0.23926356116836828,2.873339617177427,2.625331060234877,4.1060702652082055,3.750414080979961,1.1692589279389392,2.3066492191751866,2.490763147673896,0.7868590777834072,0.9905784388463019
44,250000150.69801164,0.75,150.69801162921485,12,9,1.2109606266021729,True,2.858907249798423,0.19392688789580725,3.157610218016879,3.7590523641822737,3.3427941381547575,1.851075814084398,0.3744308873400922,1.6533045398351849,0.9663445765486305,1.0578625140484905,0.8136457425139941
45,500000141.97813296,0.5,141.9781329491481,12,6,2.461124897003174,True,6.641379691701061,0.3198485322911963,2.0043690891035624,4.4047270488069685,4.682868423158153,3.5848931747605715,1.1251118651274292,2.915552188430019,2.0862216710136425,1.210436208701423,1.0909067292991117
46,33333638.36710035,0.9666666666666667,305.03376702671864,30,29,10.470078229904175,False,3.8960895597966996,0.14165859870210476,2.298905118128311,5.954094426092221,4.515624069069417,3.2277740757879845,0.5091012164548012,3.673059131513239,1.5364936392465358,0.3123887766595197,1.3667819407903194
47,500000217.2449017,0.5,217.24490174345996,12,6,2.1858744621276855,True,21.153988875005837,0.08426662902101263,2.6851634680890384,7.110710119072066,2.538090335014944,2.848955525443652,3.3562382716748758,4.470585679851333,2.350443744124685,0.9784237239249584,0.532618172018814
48,250000082.5725978,0.75,82.5725978015866,12,9,2.193180799484253,True,4.959847724976562,0.10930892439632453,1.1868433154397144,4.815026190740397,6.634254298078282,3.98133809181301,1.6500721370928924,2.1745789617448206,2.6836619954074337,1.365260561066918,0.04235254093615226
49,100000295.85857423,0.9,295.85857423633894,30,27,11.102149963378906,False,3.501121254879035,0.1603121485267906,1.612175138210792,1.4320250149392524,3.595134444556558,2.396260028030936,0.8959256274334336,1.787192110083306,1.8230019299712021,0.7836819571590661,0.875133353580564
50,153.0669515663059,1.0,153.0669515663059,12,12,1.2393455505371094,True,10.026253979197753,0.0667113502536986,2.125445612013715,3.5479549457604427,7.985323037015249,3.057883413411952,0.6722837528714858,2.7053325441166924,0.7455912518270517,1.1367297199221393,0.2919541185911897
51,148.25842773523863,1.0,148.25842773523863,12,12,0.635103702545166,True,4.091134889034315,0.09490169252190934,3.5159069875757982,5.586663069203118,3.1248570567450673,0.5939621698681516,0.25871575457293106,2.5442422604250945,1.9236510769313666,0.9396217957149656,1.2511615888861944
52,159.4024549923612,1.0,159.4024549923612,12,12,0.8285036087036133,True,4.290970107056183,0.05283991623465578,3.247623829960572,5.876973413974581,1.4387935611896545,1.0482415923956412,0.5418980303862193,3.0440815265969263,1.3759509576276916,0.5645998617281274,1.143939516452481
53,100000300.37711525,0.9,300.3771152591101,30,27,9.683595657348633,False,3.042511523876117,0.13207841791584307,3.576060815834205,6.5055827832089745,3.903826536834944,1.6931120582611936,0.4128897092040984,1.3381596178029955,1.624700116814203,0.7186819739385999,1.3583817688693158
54,500000162.8534158,0.5,162.85341580151132,12,6,2.2894790172576904,True,6.474969095209503,0.09993035469171935,3.9883412671174105,5.225709118076636,1.8562447345695512,3.7957120582286814,1.4586606449390382,0.8678219262259477,1.2305479539054263,1.3204061429248735,0.7057638366220593
55,149.07052264141333,1.0,149.07052264141333,12,12,1.1145343780517578,True,5.502921922583359,0.19038944737242142,3.041040562438564,6.9681481674120205,2.776153137038764,1.4343846946709118,1.0353004432448523,5.717498637377414,2.1687328338322365,2.551357440384179,0.9620317767324187
56,66666967.12657347,0.9333333333333333,300.4599068269557,30,28,12.28389310836792,False,15.021126270528331,0.16244703424826937,3.662453685604608,2.921231383548243,2.414400699531312,3.402063198574761,0.7443452176466551,7.589763630272483,1.8229940251665462,1.1297188903439102,1.4997907565978739
57,100000273.6580016,0.9,273.6580016098944,30,27,10.388139724731445,False,4.739197464850619,0.06901650368472233,3.3866614380241797,7.665686931605902,5.674797362504891,0.5895396972982291,2.2781322922250746,3.4141370157098017,2.4222477808760186,0.8196673288745001,1.2015058740685185
